00:00:00.000000 ; TestPlan       ; Information ; Starting TestPlan 'Untitled' on 06/14/2024 11:45:11, 147 of 399 TestSteps enabled.
00:01:20.377749 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.63 ms]
00:01:20.377749 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.377749 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:DCI:F21:STATe 0 [42.2 us]
00:01:20.379749 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.72 ms]
00:01:20.379749 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.379749 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:DCI:F22:STATe 0 [56.1 us]
00:01:20.380750 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.61 ms]
00:01:20.380750 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.380750 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:DCI:F23:STATe 0 [45.4 us]
00:01:20.382759 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.49 ms]
00:01:20.382759 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.382759 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:AGGRlevel:ONE 0 [36.2 us]
00:01:20.384759 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.21 ms]
00:01:20.384759 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.384759 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:AGGRlevel:TWO 4 [40.9 us]
00:01:20.390301 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [5.16 ms]
00:01:20.390301 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.390301 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:AGGRlevel:FOUR 2 [36.3 us]
00:01:20.392310 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.66 ms]
00:01:20.392310 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.392310 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:AGGRlevel:EIGHt 1 [59.1 us]
00:01:20.393310 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.55 ms]
00:01:20.393310 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.393310 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:AGGRlevel:SIXTeen 0 [32.0 us]
00:01:20.395308 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.79 ms]
00:01:20.395308 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.397309 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:CSS:SSID1:STATe? [1.85 ms]
00:01:20.397309 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.397309 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH Common Search Space \ CSS 1 completed. [43.6 ms]
00:01:20.397309 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH Common Search Space completed. [43.9 ms]
00:01:20.397309 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space started.
00:01:20.397309 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space \ UESS 1 started.
00:01:20.398311 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:IDENtity 2 [61.0 us]
00:01:20.400309 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.24 ms]
00:01:20.400309 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.400309 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:COReset 1 [38.8 us]
00:01:20.403024 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.62 ms]
00:01:20.403024 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.403024 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:MPERiod MP1 [59.9 us]
00:01:20.405041 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.60 ms]
00:01:20.406042 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.406042 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:MOFFset 0 [44.9 us]
00:01:20.408049 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.88 ms]
00:01:20.408049 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.408049 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:DCIFormats:MONitored DCI0111 [33.9 us]
00:01:20.409049 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.56 ms]
00:01:20.409049 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.409049 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:MSYMbol "0001" [25.7 us]
00:01:20.411049 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.50 ms]
00:01:20.411049 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.411049 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:AGGRlevel:ONE 0 [45.2 us]
00:01:20.413049 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.86 ms]
00:01:20.413049 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.413049 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:AGGRlevel:TWO 4 [35.7 us]
00:01:20.420116 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [7.69 ms]
00:01:20.420116 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.421127 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:AGGRlevel:FOUR 2 [67.7 us]
00:01:20.430136 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [10.0 ms]
00:01:20.431205 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.431205 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:AGGRlevel:EIGHt 1 [36.8 us]
00:01:20.432436 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.11 ms]
00:01:20.432436 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.432436 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:AGGRlevel:SIXTeen 0 [33.9 us]
00:01:20.434699 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.81 ms]
00:01:20.434699 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.436210 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID1:STATe? [1.41 ms]
00:01:20.436210 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.436210 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space \ UESS 1 completed. [38.6 ms]
00:01:20.436210 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space \ UESS 2 started.
00:01:20.438219 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:UESS:SSID2:STATe? [1.07 ms]
00:01:20.438219 ; 5G BSE         ; Debug       ; SCPI << 0
00:01:20.438219 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space \ UESS 2 completed. [1.15 ms]
00:01:20.438219 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space completed. [40.2 ms]
00:01:20.438219 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config completed. [107 ms]
00:01:20.438219 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDSCH Config started.
00:01:20.438219 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCh:STATe 1 [40.7 us]
00:01:20.439221 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [776 us]
00:01:20.439221 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.439221 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:PDSCh:DATA:GAIN 0 [29.3 us]
00:01:20.440221 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.36 ms]
00:01:20.440221 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.440221 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCH:SCID:STATe 1 [28.0 us]
00:01:20.442220 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.42 ms]
00:01:20.442220 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.442220 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCH:SCID 0 [27.9 us]
00:01:20.443505 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.32 ms]
00:01:20.443505 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.443505 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:PDSCH:XOVerhead XOH0 [32.8 us]
00:01:20.445512 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.74 ms]
00:01:20.445512 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.445512 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCH:RATYpe TYPE1 [51.5 us]
00:01:20.447720 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.54 ms]
00:01:20.447720 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.447720 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCH:RBGSize CONF1 [67.8 us]
00:01:20.448719 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.61 ms]
00:01:20.448719 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.448719 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCh:MCS:TABle Q64 [34.9 us]
00:01:20.450665 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.55 ms]
00:01:20.450665 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.450665 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCH:MAX:CWORds:STATe 0 [30.0 us]
00:01:20.451674 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.49 ms]
00:01:20.451674 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.451674 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCH:MAX:CWORds 1 [29.4 us]
00:01:20.454192 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.55 ms]
00:01:20.454192 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.454192 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCh:BUNDling:TYPe STATic [47.3 us]
00:01:20.456643 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.27 ms]
00:01:20.456643 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.456643 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCh:BUNDling:DYNamic:SIZE1 N2 [37.4 us]
00:01:20.457644 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.41 ms]
00:01:20.457644 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.458641 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCh:BUNDling:DYNamic:SIZE2 N2 [32.6 us]
00:01:20.459644 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.45 ms]
00:01:20.459644 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.459644 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PDSCh:BUNDling:STATic:SIZE N2 [29.2 us]
00:01:20.461643 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.66 ms]
00:01:20.461643 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.461643 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDSCH Config completed. [23.3 ms]
00:01:20.461643 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDSCH DMRS Config started.
00:01:20.461643 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:DMRS:TYPE TYPE1 [51.3 us]
00:01:20.464667 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.39 ms]
00:01:20.464667 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.464667 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:DL:DMRS:TAPosition POS2 [41.7 us]
00:01:20.467665 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.91 ms]
00:01:20.467665 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.467665 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:DMRS:ADDPosition APOS2 [45.3 us]
00:01:20.468669 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.63 ms]
00:01:20.468669 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.468669 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:DL:DMRS:GAIN 0 [31.9 us]
00:01:20.470713 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.43 ms]
00:01:20.470713 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.470713 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:DMRS:MAXLength MLEN1 [34.5 us]
00:01:20.480721 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [9.99 ms]
00:01:20.480721 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.480721 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:DMRS:SCID:STATe 0 [38.9 us]
00:01:20.482721 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.52 ms]
00:01:20.482721 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.482721 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:MTA:STATe 1 [36.3 us]
00:01:20.485142 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.97 ms]
00:01:20.485142 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.485142 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:STATe 0 [36.1 us]
00:01:20.486140 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.36 ms]
00:01:20.486140 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.487212 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:FDENsity:STATe 0 [33.7 us]
00:01:20.488218 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.72 ms]
00:01:20.488218 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.488218 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:TDENsity:STATe 0 [34.2 us]
00:01:20.490218 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.50 ms]
00:01:20.490218 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.490218 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:FDENsity:NRB0 1 [33.4 us]
00:01:20.492227 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.76 ms]
00:01:20.492227 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.492227 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:FDENsity:NRB1 20 [43.6 us]
00:01:20.494230 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.24 ms]
00:01:20.494230 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.494230 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:EPRE:PORT1 0 [44.9 us]
00:01:20.496226 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.63 ms]
00:01:20.496226 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.496226 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:TDENsity:MCS1 0 [33.8 us]
00:01:20.497225 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.30 ms]
00:01:20.497225 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.497225 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:TDENsity:MCS2 7 [29.5 us]
00:01:20.498226 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.56 ms]
00:01:20.498226 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.499485 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:TDENsity:MCS3 22 [35.1 us]
00:01:20.504011 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [4.59 ms]
00:01:20.504011 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.504011 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PTRS:RELement:OFFSet OFFS00 [58.2 us]
00:01:20.508331 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [4.71 ms]
00:01:20.508331 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.508331 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:MTB:STATe 0 [35.5 us]
00:01:20.510332 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.55 ms]
00:01:20.510332 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.510332 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PMTB:DMRS:MAXLength MLEN1 [33.5 us]
00:01:20.511332 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.48 ms]
00:01:20.511332 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.511332 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PMTB:DMRS:TYPE TYPE1 [40.5 us]
00:01:20.513332 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.71 ms]
00:01:20.513332 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.513332 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:DL:PMTB:DMRS:ADDPosition APOS2 [34.3 us]
00:01:20.515331 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.37 ms]
00:01:20.515331 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.515331 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDSCH DMRS Config completed. [53.3 ms]
00:01:20.515331 ; TestPlan       ; Information ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PUSCH Config started.
00:01:20.515331 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:STATe 0 [42.9 us]
00:01:20.516331 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.00 ms]
00:01:20.516331 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.516331 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:SCID:STATe 0 [26.8 us]
00:01:20.517330 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.35 ms]
00:01:20.517330 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.518344 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:SCID 0 [39.1 us]
00:01:20.518344 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.25 ms]
00:01:20.518344 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.518344 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:FHMode NOHopping [24.2 us]
00:01:20.520860 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.43 ms]
00:01:20.520860 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.520860 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:RAConfig TYPE1 [28.4 us]
00:01:20.522301 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.79 ms]
00:01:20.522301 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.522301 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:RBGSize CONF1 [43.0 us]
00:01:20.524312 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.55 ms]
00:01:20.524312 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.524312 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:ULMAxrank RANK1 [31.1 us]
00:01:20.527313 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.90 ms]
00:01:20.527313 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.527313 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:UFPTransmit:STATe 0 [44.0 us]
00:01:20.530529 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [3.01 ms]
00:01:20.530529 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.530529 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCH:CBSUbset NON [44.4 us]
00:01:20.532526 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [2.39 ms]
00:01:20.532526 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.532526 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:PUSCh:RMTYpe FULL [35.8 us]
00:01:20.534529 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.37 ms]
00:01:20.534529 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.534529 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:TXConfig CODebook [27.8 us]
00:01:20.535529 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.49 ms]
00:01:20.535529 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.535529 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:PUSCh:OVERhead OH0 [28.9 us]
00:01:20.537589 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [1.57 ms]
00:01:20.537589 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.537589 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:TPENabled 1 [37.2 us]
00:01:20.542010 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [4.11 ms]
00:01:20.542010 ; 5G BSE         ; Debug       ; SCPI << 1
00:01:20.542010 ; 5G BSE         ; Debug       ; SCPI >> BSE:CONFig:NR5G:CELL1:PHY:BWP0:PUSCh:TPENabled:ASN:INCLude 1 [60.5 us]
00:01:20.547010 ; 5G BSE         ; Debug       ; SCPI >> *OPC? [5.14 ms]
